num,name_ko,country,exp,Aroma,Acidity,Sweetness,Bitterness,Balance
1,예멘 모카 마타리,예멘,"예멘 커피 원두 중에서도 베니마타르 지역에서 생산하는 최고급 아라비카 품종의 커피로, 화가 고흐가 광적으로 사랑했던 원두라고 한다. 묵직한 바디감, 말린 과일의 향미와 쌉쌀한 초콜릿의 달콤함이 복합적으로 어우러진 커피 원두이다.",4,3,5,3,4
2,자메이카 블루마운틴,자메이카,"예멘 모카 마타리, 하와이안 코나와 더불어 3대 프리미엄 커피로 불리며 맛이 강하지 않고 옅은 과일의 신맛과 쌉싸름한 맛, 은은한 풍미가 좋은 고급스러운 커피 원두이다.",4,5,3,3,4
3,하와이안 코나,미국,"세계 3대 프리미엄 커피 중 하나로 코나라는 일부 지역에서만 재배되기에 희소성이 있어 가격이 높은 편이다. 높은 등급의 코나 엑스트라 팬시 원두에서는 플로럴 한 향미와 시트러스 하고 부드러운 신맛과 단맛, 풍부한 아로마를 느낄 수 있다.",5,3,5,3,5
4,케나AA,케나,"아프리카 케냐의 해발 2,000m 고지대에서 재배되는 아프리카 최고의 커피 원두로 쓴맛이 적고, 묵직한 바디감과 감미로운 향, 덜 익은 과일의 새콤한 맛과 적당한 신맛을 조화롭게 느낄 수 있다.",4,5,4,3,3
5,과테말라 안티구아,과테말라,"화산재 토양에서 자라 생커피콩 자체에 풍부한 스모키 향이 배어있으며, 부드럽고 달콤하면서도 적당한 신맛으로 달콤한 여운을 준다.",4,3,2,3,3
6,브라질 산토스브라질,브라질,"커피 재배에 가장 이상적인 기후와 토질을 갖춘 브라질에서 생산된 커피로 부드러운 풍미와 산미, 적당한 쓴맛이 골고루 조화를 이루며 식었을 때 신맛이 강해지는 특징이 있다.",5,3,2,2,4
7,코스타리카 따라주,코스타리카,"화산암이 발달한 고산지대 경사면에서 재배한 커피 원두로, 깔끔하면서 다크 초콜릿 같은 산미와 단맛이 나며 아로마가 풍부해 커피계의 와인으로 불리기도 한다.",4,4,3,3,3
8,콜롬비아 슈프리모,콜롬비아,"강한 바디감과 오렌지 계열의 부드러운 산미, 견과류의 고소한 맛이 조화를 이루며 감미로운 향이 특징이다.",4,3,3,2,4
9,에티오피아 예가체프,에티오피아,"커피의 근원지 다운 풍부한 시트러스 향과 더불어 과일의 상큼한 신맛, 초콜릿의 달콤한 맛과 향을 자랑한다.",3,4,2,2,3
10,에티오피아 시다모,에티오피아,에티오피아 예가체프와 비슷하지만 조금 더 묵직한 느낌의 맛과 향을 낸다.,5,4,3,2,3
11,탄자니아AA,탄자니아,"케냐AA와 비슷하나 부드러운 맛이 좀 더 강하며 신맛이 뛰어나고, 신맛과 단맛의 밸런스가 좋다. 다채로운 견과류 향과 쌉싸름한 맛, 기분 좋은 흙냄새, 꽃향기, 밀도 있는 바디감을 자랑하며 영국 왕실에서 사랑받는 커피 원두이다.",5,4,2,2,4
12,인도네시아 만델링,인도네시아,"다크 초콜릿이 생각나는 강하고 묵직한 맛으로 달콤 쌉싸름한 맛을 느낄 수 있으며, 농후한 바디감을 즐길 수 있는 커피 원두이다.",4,2,3,2,4
13,자바,인도네시아,"쓴맛과 약간의 신맛, 단맛이 조화를 이루어 독특한 풍미와 여운을 느낄 수 있는 커피 원두이다.",4,3,3,3,5
14,니카라과 SHG AAA,나카라과,"꽉차는 느낌은 비교적 적은 편이지만, 언뜻 감지되는 오렌지향과 초콜릿향이 절묘하게 어울러져 있음을 느낄수 있습니다. 뒤끝에 톡 쏘는듯한 쌉살함은 산뜻한 기분을 느끼게 해준다.",4,3,4,3,4
15,인도네시아 토라자,인도네시아,"인도네시아 최고 품질의 커피이다. 진한 스모크향, 중후한 바디감, 신밧과 단맛을 느낄수 있는것으로 알려져 있습니다.",4,3,3,3,4
16,멕시코 알투라,멕시코,멕시코내에서 맛있는 원두중 명품으로 취급되는 커피이다. 전체적으로 부족하지도 넘치지도 않는 마일드한 맛을 지니고 있고 적당한 바디감과 산도 때문에 커피를 처음 접하시는 사람에게 적합합니다.,5,2,4,3,4
17,파푸아뉴기니아,파푸아뉴기니,"달콤한 맛이 일품인 것으로 알려져 있고 신맛, 꽃과 과일 향등 풍부한 향미를 가진 것으로 유명하다. 무엇보다도 품질도 뛰어나고 가격도 합리적인 것으로 알려져 있다.",4,4,4,2,3
18,코피 루왁,인도네시아,"색다른 미식 경험을 위해서는, 인도네시아 사향 고양이의 배설물에서 수확한 귀한 커피 원두를 맛보는 건 어떨까요. 사향 고양이는 몽구스와 비슷한 동물로, 커피 열매를 먹고 그 씨앗을 배설합니다. 소화 과정을 거친 커피 원두는 특유의 향과 맛을 띠게 됩니다.",4,4,4,4,5
19,에티오피아 코체레,에티오피아,"에티오피아 스페셜티 커피 산지도 유명합니다. 코체레 지역의 높은 고도는 커피가 풍부한 단맛을 가지게 하며, 엄격한 품질관리를 통해서 생산하여 뛰어난 품질을 보여줍니다. 코체레 내추럴 커피는 세련되고 화려한 플레이버를 가지고 있으며, 고급진 홍차를 마시는 듯한 깔끔한 느낌을 갖게 해줍니다.",5,3,4,3,4
20,브라질 아이린 내츄럴,브라질,"세계 제일의 커피 생산국이자 수출국이며, 비교적 낮은 고도의 파젠다라 불리는 대규모 농장에서 커피를 경작합니다. 까다로운 품질 기준을 가지고 있기 때문에 표준적인 맛이 존재합니다. 초콜릿 향이 나며 잘 어우러진 발란스와 적당한 산미가 특징입니다.",3,3,4,4,4
21,인도 마이소르 너깃 엑스트라 볼드,인도,"인도 남쪽에 위치한 카르나타카 주의 마이소르는 큰 도시에 속하며, 높은 해발고도로 크게 덥지 않아 커피 생산에 있어서 좋은 환경을 가지고 있습니다. 달콤하고 부드럽게 느껴지는 산미, 너트향과 고소함이 특징입니다.",4,2,3,3,3
22,브라질세하도,브라질,"브라질 세하도의 경우 미나스 제라이스 주 동부에 위치한 지역으로 브라질 커피의 반 이상을 생산하는 지역에 속해 있습니다. 조화로운 단맛과 깨끗한 산미가 일품이며, 은은하게 퍼지는 호두맛과 중간 정도의 부드러움과 깔끔함을 함께 갖추고 있습니다.",3,3,2,2,3
23,과테말라 SHB 디카페인,콰테말라,"콰테말라 생산지역중 가장 낮은 강수량으로 인해 생두의 밀도가 높고, 이로인해 벨벳 같은 느낌을 주는 풍부한 바디와 스모키하고 톡 쏘는 듯한 느낌의 강한 아로마를 지니고 있습니다.",3,2,2,3,4
24,에티오피아 시다모,에티오피아,"일반적으로 에티오피아 지역의 커피는 강한향과 산뜻한 사미를 지니고 있으며, 수세식으로 가공한 시나모 G2의 경우에는 특유의 과일향과 마우스필이 뛰어난 커피입니다. 적당한 산미와 더불어 에티오피아 커피의 기본적인 군고구향이 특징이며, 전체적인 느낌이 부드러워 연하게 추출해 모닝커피로 마시기에 적합하며 ""커피의 귀부인"" 이라 불립니다.",4,4,3,3,4
25,에티오피아 코케 허니,에티오피아,"에티오피아 계열 커피 중 내츄럴 계열이 특징인 커피로 에티오피아의 가벼운 산미와 더불어 내츄럴 생두만이 가지고 있는 달콤함, 부드러운 바디 그리고 조화로운 발란스가 특징인 커피입니다.",4,4,4,3,4
26,온두라스 SHG,온두라스,"남서쪽으로 엘살바도르, 남동쪽으로 나카라과와 인접하고 있으며, 국토의 70%~80%는 고산지대이며 커피 재배에 알맞은 화산재 토양으로 최적의 자연환경을 갖추고 있습니다. 온두라스 커피는 일반적으로 부드럽고 중성적인 맛이라고 알려져 있으며, 부드러운 신맛과 캐러멜 향 등과 함께 적당한 바디감을 이루는 커피입니다.",3,3,3,2,3
27,엘살바도르 SHB EP,엘살바도르,"천헤의 자연 조건 중급이상의 마일드 커피로 평가되고 있으며, 습식가공을 합니다. 산뜻한 산미와 살짝 감도는 달콤한 향이 일품인 커피로 가벼운 바디감의 깔끔한 맛을 느낄 수 있습니다.",3,3,4,3,4
28,에티오피아 아바야게이샤 내추럴,"리프트 밸리안 호수에서 불러오는 바람과 반사되는 태양빛을 받으며 게이샤 종의 풍미와 깔끔한 산미와 발란스로 커피 매니아들로 부터 꾸준한 사랑을 받고 있습니다. 와인향의 상큼함과 부드러운 산미가 특징이며 , 꽃향과 달콤한 맛이 느껴진다.",,5,4,4,2,4
29,파나마 SHB 산타클라라,파나마,"전반적으로 밸런스가 좋으며 단맛, 신맛은 무난하고 쓴맛은 강하지 않고 인근 코스타리카 산 커피에 비해 복잡한 향미를 가집니다. 고급 스페셜티 생두로써 잠재력을 많이 지니고 있습니다. ",3,3,3,3,3
30,콜롬비아 무산소 120HR,콜롬비아,산소가 차단된 커피체리는 다양한 향미 성분을 생성해 냅니다. 무산소 발효 공법을 거친 커피는 와인과 같은 산미를 내는 것이 특징입니다.,4,4,4,3,4
